1,H,Hydrogen,Idrogeno
2,He,Helium,Elio
3,Li,Lithium,Litio
4,Be,Beryllium,Berillio
5,B,Boron,Boro
6,C,Carbon,Carbonio
7,N,Nitrogen,Azoto
8,O,Oxygen,Ossigeno
9,F,Fluorine,Fluoro
10,Ne,Neon,Neon
11,Na,Sodium,Sodio
12,Mg,Magnesium,Magnesio
13,Al,Aluminium,Alluminio
14,Si,Silicon,Silicio
15,P,Phosphorus,Fosforo
16,S,Sulfur,Zolfo
17,Cl,Chlorine,Cloro
18,Ar,Argon,Argon
19,K,Potassium,Potassio
20,Ca,Calcium,Calcio
21,Sc,Scandium,Scandio
22,Ti,Titanium,Titanio
23,V,Vanadium,Vanadio
24,Cr,Chromium,Cromo
25,Mn,Manganese,Manganese
26,Fe,Iron,Ferro
27,Co,Cobalt,Cobalto
28,Ni,Nickel,Nichel
29,Cu,Copper,Rame
30,Zn,Zinc,Zinco
31,Ga,Gallium,Gallio
32,Ge,Germanium,Germanio
33,As,Arsenic,Arsenico
34,Se,Selenium,Selenio
35,Br,Bromine,Bromo
36,Kr,Krypton,Kripton
37,Rb,Rubidium,Rubidio
38,Sr,Strontium,Stronzio
39,Y,Yttrium,Ittrio
40,Zr,Zirconium,Zirconio
41,Nb,Niobium,Niobio
42,Mo,Molybdenum,Molibdeno
43,Tc,Technetium,Tecnezio
44,Ru,Ruthenium,Rutenio
45,Rh,Rhodium,Rodio
46,Pd,Palladium,Palladio
47,Ag,Silver,Argento
48,Cd,Cadmium,Cadmio
49,In,Indium,Indio
50,Sn,Tin,Stagno
51,Sb,Antimony,Antimonio
52,Te,Tellurium,Tellurio
53,I,Iodine,Iodio
54,Xe,Xenon,Xeno
55,Cs,Caesium,Cesio
56,Ba,Barium,Bario
57,La,Lanthanum,Lantanio
58,Ce,Cerium,Cerio
59,Pr,Praseodymium,Praseodimio
60,Nd,Neodymium,Neodimio
61,Pm,Promethium,Promezio
62,Sm,Samarium,Samario
63,Eu,Europium,Europio
64,Gd,Gadolinium,Gadolinio
65,Tb,Terbium,Terbio
66,Dy,Dysprosium,Disprosio
67,Ho,Holmium,Olmio
68,Er,Erbium,Erbio
69,Tm,Thulium,Tulio
70,Yb,Ytterbium,Itterbio
71,Lu,Lutetium,Lutezio
72,Hf,Hafnium,Afnio
73,Ta,Tantalum,Tantalio
74,W,Tungsten,Tungsteno
75,Re,Rhenium,Renio
76,Os,Osmium,Osmio
77,Ir,Iridium,Iridio
78,Pt,Platinum,Platino
79,Au,Gold,Oro
80,Hg,Mercury,Mercurio
81,Tl,Thallium,Tallio
82,Pb,Lead,Piombo
83,Bi,Bismuth,Bismuto
84,Po,Polonium,Polonio
85,At,Astatine,Astato
86,Rn,Radon,Radon
87,Fr,Francium,Francio
88,Ra,Radium,Radio
89,Ac,Actinium,Attinio
90,Th,Thorium,Torio
91,Pa,Protactinium,Protoattinio
92,U,Uranium,Uranio
93,Np,Neptunium,Nettunio
94,Pu,Plutonium,Plutonio
95,Am,Americium,Americio
96,Cm,Curium,Curio
97,Bk,Berkelium,Berkelio
98,Cf,Californium,Californio
99,Es,Einsteinium,Einsteinio
100,Fm,Fermium,Fermio
101,Md,Mendelevium,Mendelevio
102,No,Nobelium,Nobelio
103,Lr,Lawrencium,Laurenzio
104,Rf,Rutherfordium,Rutherfordio
105,Db,Dubnium,Dubnio
106,Sg,Seaborgium,Seaborgio
107,Bh,Bohrium,Bohrio
108,Hs,Hassium,Hassio
109,Mt,Meitnerium,Meitnerio
110,Ds,Darmstadtium,Darmstadtio
111,Rg,Roentgenium,Roentgenio
112,Cn,Copernicium,Copernicio
113,Nh,Nihonium,Nihonio
114,Fl,Flerovium,Flerovio
115,Mc,Moscovium,Moscovio
116,Lv,Livermorium,Livermorio
117,Ts,Tennessine,Tennesso
118,Og,Oganesson,Oganesson
